Product Name,Category,Description,Image
Apple Green-Pack of 2,Fruits,"The Granny Smith is a tip-bearing apple cultivar, which originated in Australia in 1868. The fruit is hard, with a light green skin and crisp, juicy flesh. The flavour is tart and acidic. However, it remains firm when baked, making it a very popular cooking apple. Benefits are fights wrinkles, improves skin texture, whitens and brightens, provides a Vitamin C boost, combats acne, provides natural sun protection etc",
Apple Fuji-Pack of 4,Fruits,"Fuji is surely one of the more attractive modern apple varieties. Its main characteristic is the lovely pink speckled flush over a yellow-green background. It is also crisp and juicy, with dull white flesh which snaps cleanly. The flavor is predominantly sweet. Health benefits are whiten teeth, prevent parkinson's disease, cancer prevention, treatment for diabetes, lowers cholesterol, heart health, prevention of gallstones, lowers irritation, control weight, respiratory health etc",
Apple Fuji-Pack of 2,Fruits,"Fuji is surely one of the more attractive modern apple varieties. Its main characteristic is the lovely pink speckled flush over a yellow-green background. It is also crisp and juicy, with dull white flesh which snaps cleanly. The flavor is predominantly sweet. Health benefits are whiten teeth, prevent parkinson's disease, cancer prevention, treatment for diabetes, lowers cholesterol, heart health, prevention of gallstones, lowers irritation, control weight, respiratory health etc",
White Radish-500 gms,Leafy,"Radish is an edible root vegetable with a pungent taste and in terms of shape, they can be long, and cylindrical or round. Radishes may be eaten raw, cooked or pickled. This food is very low in Saturated Fat and Cholesterol. It is also a good source of Vitamin B6, Folate, Calcium, Magnesium and Phosphorus, and a very good source of Dietary Fiber, Vitamin C, Iron, Potassium and Copper. Health benefits are relieves jaundice, boosts immunity, aids in digestion, prevents piles, anticancer properties, urinary disorders, weight loss, relieves respiratory disorders etc. ",
Spring Onion-1 Bunch,Leafy,"Spring onions are long, tender green leaves with the white bulb at the lower end. Spring onions are an excellent source of vitamin C and calcium. They are also a good source of dietary fibre and vitamins A and B6, thiamine, folate and minerals (potassium, copper, chromium, manganese, iron). Health benefits are reduces the risk of cancer, lowers blood sugar level, aids digestion, maintain good vision, prevents cold and flu etc. ",
Sarson Leaves -1 Bunch,Leafy,"Sarson(Mustard) leaves are used to make the famous punjabi delicacy Sarson ka saag. It is the storehouse of many phytonutrients that have health promotional and disease prevention properties. It is very low in calories and fats and containing very good amount of fiber that helps control cholesterol. Also excellent source of vitamin A, vitamin C, calcium, iron, magnesium, potassium, zinc, selenium, and manganese.",
Palak/Spinach-1 Bunch,Leafy,"Spinach is a superfood. It is loaded with tons of nutrients in a low-calorie package. Dark, leafy greens like spinach are important for skin, hair, and bone health. They also provide protein, iron, vitamins, and minerals. The possible health benefits of consuming spinach include improving blood glucose control in people with diabetes, lowering the risk of cancer, and improving bone health, as well as supplying minerals and vitamins that can provide a range of different.",
Mint Leaves-1 Bunch,Leafy,"Mint leaves are a tender herb with gentle stems. They are best used raw or added at the end of cooking in order to maintain their delicate flavor and texture. Mint is commonly used to flavor Middle Eastern dishes, such as lamb, soups, and vegetable salads. Mint is a calming and soothing herb that has been used for thousands of years to aid with upset stomach or indigestion. Mint is thought to increase bile secretion and encourage bile flow, which helps to speed and ease digestion.",
Methi Leaves -1 Bunch,Leafy," Fenugreek leaves or Methi leaves are one of the most widely used green leafy vegetables. These aromatic, bitter leaves can instantly enhance the flavour of any food and are used in many cuisines, particularly Indian. Fenugreek leaves are rich in fibre and have high amounts of Vitamins and minerals. Health benefits are appetite control, cholesterol levels, heartburn, inflammation etc",
Dill Leaves-1 Bunch,Leafy,"Dill is a delicate herb with fragrant, feathery leaves.  Health benefits of Dill include relief from insomnia, respiratory disorders, and improper menstrual cycle. They also prevent cancer, aid in digestion, cure diarrhea, prevent allergies and osteoporosis, excess gas, and manage diabetes. They are also good for boosting immunity system and improving the bone health. ",
Coriander Leaves-200 gms,Leafy,"Coriander leaves have a strong odour. They also have Aromatic green leaves that are largely used to flavour and garnish food. Coriander is packed with fiber, magnesium, manganese, protein, & iron. Coriander is packed with fiber, magnesium, manganese, protein, & iron.Coriander is packed with fiber, magnesium, manganese, protein, & iron. The health benefits of Coriander, also called cilantro, are many and include its use in the treatment of skin inflammation, high cholesterol levels, diarrhea, mouth ulcers, anemia,and indigestion. Cilantro is also useful for menstrual disorders, smallpox, conjunctivitis, skin disorders, and blood sugar disorders, whike also benefiting vision.",
Coriander Leaves-100 gms,Leafy,"Coriander leaves have a strong odour. They also have Aromatic green leaves that are largely used to flavour and garnish food. Coriander is packed with fiber, magnesium, manganese, protein, & iron. Coriander is packed with fiber, magnesium, manganese, protein, & iron.Coriander is packed with fiber, magnesium, manganese, protein, & iron. The health benefits of Coriander, also called cilantro, are many and include its use in the treatment of skin inflammation, high cholesterol levels, diarrhea, mouth ulcers, anemia,and indigestion. Cilantro is also useful for menstrual disorders, smallpox, conjunctivitis, skin disorders, and blood sugar disorders, whike also benefiting vision.",
Chukka Leaves -1 Bunch,Leafy,"Chukka leaves are medium to large in size and broad, thin, oblong, and arrow-shaped, averaging 6-15 centimeters in length. Chukka leaves look similar to spinach with a smooth texture and dark green surface, but they have thicker and juicer stems. Chukka leaves are high in vitamin C, calcium, magnesium, and potassium. They also contain beta-carotene and lutein. 
",
Bathua Leaves -1 Bunch,Leafy,"Bathua is prepared just like the other saag preparations and consumed widely for its rich taste and health properties. Bathua is rich in calcium, potassium, magnesium and vitamins A, C and B6. All these micronutrients make bathua incredibly nutritious and a winter diet essential. It plays a good role against indigestion, anemia, dental problems, kidney stones, anthritis etc.",
Amaranthus Red-1 Piece,Leafy,"Amaranthus is one of the amazing vegetable leaves to ever have wandered off the garden of Eden was the Amaranth plant, nature's gift of mankind. Health benefits of red amaranthus leaves include prevention of constipation among other great benefits. Other benefits includes treatment of diarrhea, skin problems healing power, treatment of sores and aching and bleeding gums, treatment of alopecia, source of protein and unsaturated oils, source of dietary fiber etc",
Amaranthus Green-1 Piece,Leafy,"Amaranthus is a green powerhouse. When cooked, amaranth has nutrients like folate, thiamine, niacin, riboflavin, dietary minerals like calcium, iron, potassium, zinc , copper, manganese and vitamins A, C & K. Amaranth seeds are also considered a great source of protein.",
Tomatoes-1 kg,Veggies,"The Tomato is the edible, often red, berry of the plant solanum lycopersicum. Tomatoes are the major dietary source of the antioxidant lycopene, which has been linked to many health benefits, including reduced risk of heart disease and cancer. They are also great source of vitamin C, potassium, folate and vitamin K. It is also beneficial for skin health.",
Tomato Half-500 gms,Veggies,"The Tomato is the edible, often red, berry of the plant solanum lycopersicum. Tomatoes are the major dietary source of the antioxidant lycopene, which has been linked to many health benefits, including reduced risk of heart disease and cancer. They are also great source of vitamin C, potassium, folate and vitamin K. It is also beneficial for skin health.",
Sweet Corn shelled-200 gms,Veggies,"Sweet corn is hybridized variety of maize with a high sugar content. It is rich in fiber, many 
vitamins , minerals and antioxidants.",
Sweet Corn Cobs-1 pair,Veggies,"Sweet corn is a hybridized variety of maize with a high sugar content. The fruit of the sweet corn plant is the corn kernel. The ear is a collection of kernels on the cob. The ear is covered by tightly wrapped leaves called the husk. Sweet corn is a special low starch variety with higher sugar content. It is a good source of fiber, protein, vitamins and minerals. Health benefits are good eye health, prevention of diverticular diseases etc.",
Suran-1 piece,Veggies,"Suran is the edible bulb or corm of a very unique looking single stalked flowering plant.
It is the powerhouse of nutrients. It contains high carbohydrates, protein, vitamins,
antioxidants, minerals and dietary fibres.",
Snake Gourd-250 gms,Veggies,"Snake gourd is monoecious and vigorous climbing annual herb having furrowed angled green stem with 3 fid branched tendrils. It is soft skinned, cylindrical long measuring 30 to 180 cms. It is loaded with various nutrients, carbohydrates, proteins and soluble fiber. Vitamins such as vitamin C, vitamin A, riboflavin, thiamine and niacin. It helps to lower fewer, diabetic treatment, prevents heart ailments, eliminate toxins, respiratory health, hair health, prevent lever problems, lower acidity.",
Sambhar Onion-500 gms,Veggies,Sambhar onion is very popular in south india for making sambhar.,
Sambhar Onion-250 gms,Veggies,Sambhar onion is very popular in south india for making sambhar.,
Ridge Gourd-250 gms,Veggies,"It is also called as turai. It is ridged and dark green vegetable with white pulp inside. The taste of the vegetable resembles zucchinis. It is low in saturated fats, cholesterol, high in dietary fiber, vitamin C, riboflavin, zinc, thiamine, iron, magnesium and manganese. Health benefits are lose some weights, overcome jaundice, help treat anemia, prevent cancer, increase the vision of eyes, cure migraine disease, overcome diabetes, maintain skin beauty, maintain brain function etc.",
Red Pumpkin-1 piece,Veggies,"Mostly eaten as a boiled. Highly nutritious and particularly rich in vitamin A. It improves 
immunity, eye health, healthy skin, heart health and may help lower risk of metabolic
syndrome.",
Pumpkin Yellow-1 piece,Veggies,"Pumpkin is a highly nutrient-dense food. It is rich in vitamins and minerals but low in calories. Pumpkin seeds, leaves, and juices all pack a powerful nutritional punch. Consuming foods rich in beta-carotene may reduce the risk of developing certain types of cancer, offer protection against asthma and heart disease, and delay aging and body degeneration.",
Potatoes-1 kg,Veggies,"Potatoes are underground tubers that grow on the roots of the potato plant, solanum 
tuberosum. They are generally eaten boiled, baked or fried. Also used to make french 
fries, potato chips etc. Good source of several vitamins and minerals, particularly 
potassium and vitamin C.",
Potato Half-500 gms,Veggies,"Potatoes are underground tubers that grow on the roots of the potato plant, solanum tuberosum. They are generally eaten boiled, baked or fried. Also used to make french fries, potato chips etc. Good source of several vitamins and minerals, particularly potassium and vitamin C.",
Pointed Gourd-250 gms,Veggies,"It is also known as Parwal. The fruit is green with white or no stripes. It is a good source of carbohydrate, vitamin A and vitamin C. It also contains major nutrients and trace elements like magnesium, potassium, copper, sulphur and chlorine which are needed in small quantities. Health benefits are blood purifier, reduces flu, improves digestion, fight with aging factors, treats constipation, controls blood sugar and cholesterols, aids in weight loss etc.",
Onion-1 Kg,Veggies,"Onions are a staple in kitchens around the world and packed with nutrients and plant 
compounds with powerful health effects. It is mostly red in colour and high content of 
antioxidants and sulphur containing compounds. It helps to reduce risk of cancer,
lower blood sugar levels and improve bone health",
Onion Half-500 gms,Veggies,"Onions are a staple in kitchens around the world and packed with nutrients and plant compounds with powerful health effects. It is mostly red in colour 
and high content of antioxidants and sulphur containing compounds. It helps to reduce risk of cancer,lower blood sugar levels and improve bone health",
Long Capsicum-250 gms,Veggies,"It is also called Bhavnagri mirchi, stuffed with gram flour and dry masalas. Its very famous in Gujarat, Maharashtra and Rajasthan. This Mirchi is not at all bitter or teekhi in taste,these are mild and tangy!The flavor of roasted gram flour is really different as it gives a crunch in every bite and the most important is that they are not deep fried.
",
Lemongrass-100 gms,Veggies,"Lemongrass is a tall, perennial grass in a class of 45 species of grasses. It is very low in saturated fat, sodium and cholesterol. It is also good source of folate, magnesium, zinc, copper, iron, potassium and manganese. Benefits are relieving anxiety, lowering cholesterol, preventing infection, boosting oral health, relieving pain, boosting red blood cell levels, relieving boating etc.",
Lemon-4 pcs,Veggies,"Lemons are high in Vitamin C, a powerful antioxidant. Lemon juice can be used in teas, 
desserts and on salads.",
Ladies Finger-500 gms,Veggies,"It is also known as Okra. It is a type of green vegetable, long finger like, having a small tip at the taporing end, measuring about 5-15 cm in length. It is a very low calorie vegetable with rich source of dietary fiber, minerals and vitamins. Healthy benefits are, it contains beneficial antioxidants, may lower heart disease risk, may have anticancer properties, may lower blood sugar, beneficial for pregnant women etc",
Ladies Finger-250 gms,Veggies,"It is also known as Okra. It is a type of green vegetable, long finger like, having a small tip at the taporing end, measuring about 5-15 cm in length. It is a very low calorie vegetable with rich source of dietary fiber, minerals and vitamins. Healthy benefits are, it contains beneficial antioxidants, may lower heart disease risk, may have anticancer properties, may lower blood sugar, beneficial for pregnant women etc",
Knol khol -500 gms,Veggies,"The vegetable has a Greenish-white appearance with round shape familiar to cabbage. Apart from these distinct features long green extrusions that come out as shoots from knol khol. Knol khol is found to be rich in dietary fiber, carotenoids, vitamins A, C, K and the B vitamins. As with the other vegetables in this family, it is rich with various anti-oxidants that protect against colon and prostate cancer.",
Ivy Gourd/Tendli- 250 gms,Veggies,"Ivy gourd is a popular vegetable in African and Asian Countries. It is used in herbal medicine and in a variety of recipes. Ivy gourd is iron and vitamin B2 rich vegetable support for prevents kidney stones, fatigue, protects the nervous system. It helps to lower blood sugar level, prevent obesity, maintains healthy metabolism.",
Green Tomato-500 gms,Veggies,"Green tomatoes are just unripe tomatoes. Green tomatoes are a very good source of vitamins A and C and potassium. They also contain iron, calcium, dietary fiber, magnesium, and other minerals. Benefits are helpful for varicose veins, neutralize free radicals, cancer prevention, cholesterol balance, speeds healing process, prevents premature aging, tightens skin, healthy diet, builds muscle mass, maintain eye health, normal blood pressure, reduces heart problems, antioxidant activity etc",
Green Peas-500 gms,Veggies,"Green peas, or ""garden peas,"" are the small, spherical seeds that come from pods produced by the Pisum sativum plant. Green peas are a popular vegetable. They are also quite nutritious and contain a fair amount of fiber and antioxidants. Green peas are a very good source of vitamin K, manganese, dietary fiber, vitamin B1, copper, vitamin C, phosphorus and folate. Benefits are help better digestion, good source of iron, builds immunity, good eye health, good for heart, weight loss, good for skin etc",
Green Peas-1 kg,Veggies,"Green peas, or ""garden peas,"" are the small, spherical seeds that come from pods produced by the Pisum sativum plant. Green peas are a popular vegetable. They are also quite nutritious and contain a fair amount of fiber and antioxidants. Green peas are a very good source of vitamin K, manganese, dietary fiber, vitamin B1, copper, vitamin C, phosphorus and folate. Benefits are help better digestion, good source of iron, builds immunity, good eye health, good for heart, weight loss, good for skin etc",
Ginger-100 gms,Veggies,"Ginger is a flowering plant whose rhizome,ginger root or ginger, is widely used as a
spice and folk medicine. It is available fresh and dried, as ginger extract and ginger oil,
and tinctures, capsules and lozenges. It has long been used for culinary and medicinal
purpose. It reduces nausea, pain and inflammation.",
Garlic UnPeeled-250 gms,Veggies,"Garlic is a plant in the onion family that's grown for its distinctive taste and health 
benefits. It contains sulphur compounds, which are believed to bring some of the 
health benefits.",
Garlic Peeled-100 gms,Veggies,"Garlic is a plant in the onion family that's grown for its distinctive taste and health 
benefits. It contains sulphur compounds, which are believed to bring some of the 
health benefits.",
French beans-250 gms,Veggies,"French beans are smaller than common green beans and have a soft, velvety pod. Quite fleshy for their size, only tiny seeds inhabit these delicate pods. French beans are sweet, tender and wonderfully crispy. French beans are delicious. As well as being low in calories and containing no saturated fat, they are a fantastic source of vital nutrients, particularly vitamins C and A, and minerals including iron, calcium and magnesium.",
Flat Beans (Val Papdi)-250 gms,Veggies,"Flat Beans are known as Val Papdi in the Maharashtra - Goa region, and is quite popular in this region. Flat beans are one of the healthiest vegetables for your heart. A good source of vitamin A, K, C, proteins and folate, flat beans boost your heart health by reducing the risk of iron deficiencies. Vitamin B and folate in this vegetable promote blood cell development, boost energy and keep your brain healthy as well.",
Drumsticks-250 gms,Veggies,"Drumsticks are long, smooth skinned, dark green and three sided. It is naturally 6 to 18 inches in length. Good source of vitamins , protein, iron, magnesium etc. Drumsticks are great for diabetes, fights pimple, good for hair and skin, prevents the outburst of chickenpox, keeps heart healthy and stronger bones.",
Curry Leaves-50 gms,Veggies,"The main nutrients found in curry leaves are carbohydrates, energy, fiber, calcium, 
phosphorous, iron, magnesium, copper and minerals. Also contains various vitamins 
like vitamin C, vitamin A, vitamin B, vitamin E, antioxidants , amino acids & flavonoids.",
Cucumber White-500 gms,Veggies,"This cucumber is white in colour with little rough skin. Cucumbers are widely used in traditional diets as well as spas across the world. It contains high dietary fiber, also provides small amount of vitamin K & C, magnesium, potassium, manganese and vitamin A. Benefits are potential antidiabetic, antioxidant activity, cleansing action of toxins and waste, soothing effects against skin irritation and prevention of constipation.",
Cucumber Green-500 gms,Veggies,"This cucumber is green in colour with white dotted spines. Cucumbers are widely used in traditional diets as well as spas across the world. It contains high dietary fiber, also provides small amount of vitamin K & C, magnesium, potassium, manganese and vitamin A. Benefits are potential antidiabetic, antioxidant activity, cleansing action of toxins and waste, soothing effects against skin irritation and prevention of constipation.",
Coconut Medium-1 Piece,Veggies,"Coconut is a fruit having hard brown coating with thin white coloured inner flesh.
Despite being high in saturated fat, coconut is cholesterol free and low in sodium.",
Chilli Long-100 gms,Veggies,"Chillies are an imperative ingredient in indian cuisines. It is light green in colour, elongated & pungent taste caused by content Capsaicin. It is valuable source of Vitamin A, B, C, E and P, and minerals such as magnesium, iron, potassium, macronutrients and dietary fibers.",
Chilli Dark-100 gms,Veggies,"Chillies are an imperative ingredient in indian cuisines. This chilli is well-known for its intense pungent taste caused by content Capsaicin. It is valuable source of Vitamin A, B, C, E and P, and minerals such as magnesium, iron, potassium, macronutrients and dietary fibers.",
Cauliflower-1 Piece,Veggies,"It is an annual plant that reproduces by seed. Typically, only the head is eaten - the edible white flesh sometimes called ""Curd"". Cauliflower is an excellent source of vitamins and minerals, containing some of almost every vitamin and mineral that we need. It contains high amount of fiber, which is important for digestive health and may reduce the risk of several chronic diseases. Having significant amount of antioxidants which are beneficial for reducing inflammation.",
Carrot Red-500 gms,Veggies,"It is red because of the Lycopene pigment, also found in tomatoes. Carrot have a long, narrow, cylindrical cone shape root, It has a thick, fleshy, deeply colored root, which grows underground, and feathery green leaves that emerge above ground. Carrots are a particularly good source of beta carotene, fiber, vitamin K1, potassium, and antioxidants. Healthy benefits are reduces risk of cancer, lower blood cholesterol, weight loss, eye health etc",
Carrot Red-250 gms,Veggies,"It is red because of the Lycopene pigment, also found in tomatoes. Carrot have a long, narrow, cylindrical cone shape root, It has a thick, fleshy, deeply colored root, which grows underground, and feathery green leaves that emerge above ground. Carrots are a particularly good source of beta carotene, fiber, vitamin K1, potassium, and antioxidants. Healthy benefits are reduces risk of cancer, lower blood cholesterol, weight loss, eye health etc",
Carrot Local-500 gms,Veggies,"Carrot is a root vegetables and mainly composed of water and carbs. It is fresh orange in colour. Carrots contain vitamin A, antioxidants, minerals and fiber. It helps to reduce 
the risk of Cancer and cardiovascular diesease.",
Carrot Local-250 gms,Veggies,"Carrot is a root vegetables and mainly composed of water and carbs. It is fresh orange in colour. Carrots contain vitamin A, antioxidants, minerals and fiber. It helps to reduce 
the risk of Cancer and cardiovascular diesease.",
Capsicum Green-500 gms,Veggies,"Capsicum is a 'spicy' commonly called as chilli peppers. Capsicum is a good source of vitamin A and C, dietary fiber, vitamin E, B6 and folate. The health benefits are relief from stomach issues, back pain, muscle spasms, headache, skin aging , peptic ulcers, menopausal problems, lower risk of cardiovascular diseases and diabetes.",
Capsicum Green-250 gms,Veggies,"Capsicum is a 'spicy' commonly called as chilli peppers. Capsicum is a good source of vitamin A and C, dietary fiber, vitamin E, B6 and folate. The health benefits are relief from stomach issues, back pain, muscle spasms, headache, skin aging , peptic ulcers, menopausal problems, lower risk of cardiovascular diseases and diabetes.",
Cabbage-1 Piece,Veggies,"Cabbage is cruciferous vegetable, green in colour, may protect against the negative effect
of radiation and against cancer. It is a good source of vitamin C & K, it helps to improve 
digestion, keep heart healthy.",
Brinjal Kateri purple-500 gms,Veggies,"The brinjal is a delicate, the stem is often spiny and the egg-shaped, glossy, purple fruit has white flesh with a meaty texture. It is low in saturated fat and cholesterol, good source of vitamin K, B6, folate, potassium and manganese. Also good source of dietary fiber. It prevent cancer, great for wt. loss, prevent heart disease, control blood pressure, good for diabetes, lower cholesterol in the body, good for brain.",
Brinjal Kateri purple-250 gms,Veggies,"The brinjal is a delicate, the stem is often spiny and the egg-shaped, glossy, purple fruit has white flesh with a meaty texture. It is low in saturated fat and cholesterol, good source of vitamin K, B6, folate, potassium and manganese. Also good source of dietary fiber. It prevent cancer, great for wt. loss, prevent heart disease, control blood pressure, good for diabetes, lower cholesterol in the body, good for brain.",
Brinjal Green Round -500 gms,Veggies,"This food is very low in Saturated Fat and Cholesterol. It is also a good source of Vitamin K, Thiamin, Vitamin B6, Folate, Potassium and Manganese, and a very good source of Dietary Fiber. Health benefits are control diabetes, boosts memory, removes excess iron from the body, facilitates weight loss, aids digestion, has antibacterial properties, reduces blood pressure and stress level, prevent cancer, enhance bone health, treats anemia etc",
Brinjal Green Round -250 gms,Veggies,"This food is very low in Saturated Fat and Cholesterol. It is also a good source of Vitamin K, Thiamin, Vitamin B6, Folate, Potassium and Manganese, and a very good source of Dietary Fiber. Health benefits are control diabetes, boosts memory, removes excess iron from the body, facilitates weight loss, aids digestion, has antibacterial properties, reduces blood pressure and stress level, prevent cancer, enhance bone health, treats anemia etc",
Brinjal Bharta-1 Piece,Veggies,"It is most commonly purple, spongy, absorbent fruit used in various cuisines. It is usually eaten cooked like the potato. It contains a good amount of vitamins, minerals and fiber in few calories. Also contain small amounts of other nutrients including niacin, magnesium and copper. It is high in antioxidants also. It may reduce the risk of heart disease, may promote blood sugar control, could help with weight loss, may have cancer fighting benefits.",
Bottle Gourd-1 Piece,Veggies,"It is also called as doodhi or lauki. The fruit is harvested young and used as a vegetable. It is low in saturated fat, cholesterol, high in dietary fiber, vitamin C, riboflavin, zinc, thiamine, iron, magnesium and manganese. Health benefits are curing constipation, weight loss, helps in anti-oxidative actions, regulate blood pressure, prevent the risk of heart ailments, hypertension etc",
Bitter Gourd-500 gms,Veggies,"It is very bitter in taste but rich source of vitamins, iron, magnesium, potassium, zinc, manganese,dietary fiber etc. It has several health benefits like it manages diabetes, improve gut health, boost immunity, protect against cancer, treat obesity, blood purifier, beautifies the skin, regulate cholesterol, add shine to hair.",
Bitter Gourd-250 gms,Veggies,"It is very bitter in taste but rich source of vitamins, iron, magnesium, potassium, zinc, manganese,dietary fiber etc. It has several health benefits like it manages diabetes, improve gut health, boost immunity, protect against cancer, treat obesity, blood purifier, beautifies the skin, regulate cholesterol, add shine to hair.",
Beetroot-500 gms,Veggies,"Beetroot is the taproot portion of beet plant. Great source of fiber, vitamin B9,
manganese, potassium, iron & Vitamin C",
Beetroot-250 gms,Veggies,"Beetroot is the taproot portion of beet plant. Great source of fiber, vitamin B9,
manganese, potassium, iron & Vitamin C",
Beans Cowpea-500 gms,Veggies,"The cowpea is an annual herbaceous legume from the genus Vigna. Cowpeas are grown mostly for their edible beans, although the leaves, green seeds and pods can also be consumed.It is also a good source of Protein and Niacin, and a very good source of Vitamin A, Vitamin C, Thiamin, Riboflavin, Vitamin B6, Folate, Calcium, Iron, Magnesium, Potassium, Copper and Manganese. Benefits are digestive health, heart protection, detoxification, sleep problems, diabetes management, circulatory health, weight loss etc",
Beans Cowpea-250 gms,Veggies,"The cowpea is an annual herbaceous legume from the genus Vigna. Cowpeas are grown mostly for their edible beans, although the leaves, green seeds and pods can also be consumed.It is also a good source of Protein and Niacin, and a very good source of Vitamin A, Vitamin C, Thiamin, Riboflavin, Vitamin B6, Folate, Calcium, Iron, Magnesium, Potassium, Copper and Manganese. Benefits are digestive health, heart protection, detoxification, sleep problems, diabetes management, circulatory health, weight loss etc",
Beans Cluster-500 gms,Veggies,"Cluster bean is a legume crop and it is also known as Gavar. It is eaten as a green bean and it is beneficial for cardio health, great for diabetes, help make bone strong, better blood circulation, good during pregancy, manage blood pressure.",
Beans Cluster-250 gms,Veggies,"Cluster bean is a legume crop and it is also known as Gavar. It is eaten as a green bean and it is beneficial for cardio health, great for diabetes, help make bone strong, better blood circulation, good during pregancy, manage blood pressure.",
Baby Potato-500 gms,Veggies,"Boiled and peeled baby potatoes can be used in variety of recipes like aloo chaat, dum aloo etc. Unpeeled boiled baby potatoes are also used to make variety of subzis. It is excellent source of potassium & vitamin C. Also good source of vitamin B6 and are fat, sodium and cholesterol free.",
Baby Potato-250 gms,Veggies,"Boiled and peeled baby potatoes can be used in variety of recipes like aloo chaat, dum aloo etc. Unpeeled boiled baby potatoes are also used to make variety of subzis. It is excellent source of potassium & vitamin C. Also good source of vitamin B6 and are fat, sodium and cholesterol free.",
Ash Gourd-1 Piece,Veggies,"It is also commonly known as Wax Gourd, Winter Melon, Green Pumpkin. It is not just the fruit, which is useful, but its seeds and seed oil is equally useful. It is recognized for its medicinal properties in Ayurveda System of Medicine. It helps to keep stomach free of ulcers and intestinal parasites, aids in weight loss, helps stop bleeding, helps fight mental illness, beneficial for face and hair. ",
Arbi-500 gms,Veggies,"Scientifically known as Colocasia esculenta, very good source of multivitamins,
excellent energy booster, rich in dietary fiber",
Arbi-250 gms,Veggies,"Scientifically known as Colocasia esculenta, very good source of multivitamins,
excellent energy booster, rich in dietary fiber",
