"Category";"Name";"Description"
"Exotics";"Capsicum Red-500 gms";"Bell peppers are fruits that belongs to the nightshade family. They are low in calories and exceptionally rich in vitamin C and other antioxidants. Healthy benefits are eye health, Anemia prevention etc"
"Exotics";"Capsicum Yellow-250 gms";"Bell peppers are fruits that belongs to the nightshade family. They are low in calories and exceptionally rich in vitamin C and other antioxidants. Healthy benefits are eye health, Anemia prevention etc"
"Exotics";"Capsicum Yellow-500 gms";"Bell peppers are fruits that belongs to the nightshade family. They are low in calories and exceptionally rich in vitamin C and other antioxidants. Healthy benefits are eye health, Anemia prevention etc"
"Exotics";"Mix Capsicum- 2 pcs";"Bell peppers are fruits that belongs to the nightshade family. They are low in calories and exceptionally rich in vitamin C and other antioxidants. Healthy benefits are eye health, Anemia prevention etc"
"Exotics";"Celery-250 gms";"Celery is a marshland plant cultivated as a vegetable since antiquity. Celery has a long fibrous stalk tapering into leaves. Depending on location and cultivar, either its stalks, leaves or hypocotyl are eaten and used in cooking. Celery seed is also used as a spice and its extract have been used in herbal medicine. Celery is rich in vitamin K and it also contains folate, vitamin A, potassium, vitamin C and dietary fiber. Health benefits are lowering inflammation, reducing blood pressure, reducing the risk of cancer etc."
"Exotics";"Celery-500 gms";"Celery is a marshland plant cultivated as a vegetable since antiquity. Celery has a long fibrous stalk tapering into leaves. Depending on location and cultivar, either its stalks, leaves or hypocotyl are eaten and used in cooking. Celery seed is also used as a spice and its extract have been used in herbal medicine. Celery is rich in vitamin K and it also contains folate, vitamin A, potassium, vitamin C and dietary fiber. Health benefits are lowering inflammation, reducing blood pressure, reducing the risk of cancer etc."
"Exotics";"Iceberg Lettuce-1 Piece";"Iceberg lettuce is one of the main ingredients in salad preparations and is known for its crunchy texture. It has comparatively fewer nutrientsthan other greens you may find in salads. Iceberg lettuce is an excellent source of potassium and manganese. This lettuce is rich in vitamin A, K, C, thiamin, vitamin B6, and folate (vitamin B9). There are many health benefits of iceberg lettuce that include weight loss, prevention of birth defects, and reduced risk of many diseases."
"Exotics";"Parsley-100 gms";"It is widely used as a fresh culinary herb or dried spice. It's bright green in color and has a mild, bitter flavor that pairs well with many recipes. Often labeled as one of the most powerful disease-fighting plants. Health benefits are preventing cancer, protecting against diabetes, improving bone health etc."
"Fruits";"Strawberry-250 gms";"The strawberry is widely appreciated for its characteristic aroma, bright red colour, juicy texture and sweetness. Strawberries are a good source of vitamin C, manganese, folate and potassium. They contain small amounts of several other vitamins and minerals. Health benefits are good heart health, blood sugar regulation, cancer prevention, decrease oxidative stress, reduce inflammation, improves vascular function etc."
"Exotics";"Alfalfa Sprouts-250 gms";"Alfalfa sprouts are the shoots of the alfalfa plant, harvested before they become the full-grown plant. Because they are so small, the sprouts contain a concentrated amount of certain vitamins and minerals such as calcium, vitamin K, and vitamin C. Health benefits are help to heal from open wounds, can help build strong bones, can help prevent iron deficiency, prefect to fill your stomach and aid in weight loss, can help fight cold sores etc."
"Exotics";"Alfalfa Sprouts-500 gms";"Alfalfa sprouts are the shoots of the alfalfa plant, harvested before they become the full-grown plant. Because they are so small, the sprouts contain a concentrated amount of certain vitamins and minerals such as calcium, vitamin K, and vitamin C. Health benefits are help to heal from open wounds, can help build strong bones, can help prevent iron deficiency, prefect to fill your stomach and aid in weight loss, can help fight cold sores etc."
"Fruits";"Fresh Amla-250 gms";"Amla is a Vitamin C rich fruit that can be used in a large variety of recipes. It has many nutritional values whether eaten raw or used to make chutney, pickle, squash, juice, snack, and marmalade. Amla contains good amount of Calcium, Phosphorus, Iron, Carotene, Vitamin B Complex, Protein, Carbohydrates, Cholesterol and Sodium. Health benefits are relieves from acidity, improves calcium absorption, acts as a diuretic, manages diabetes, anti-aging etc"
"Fruits";"Fresh Amla-500 gms";"Amla is a Vitamin C rich fruit that can be used in a large variety of recipes. It has many nutritional values whether eaten raw or used to make chutney, pickle, squash, juice, snack, and marmalade. Amla contains good amount of Calcium, Phosphorus, Iron, Carotene, Vitamin B Complex, Protein, Carbohydrates, Cholesterol and Sodium. Health benefits are relieves from acidity, improves calcium absorption, acts as a diuretic, manages diabetes, anti-aging etc"
"Fruits";"Apple Fuji-Pack of 2";"Fuji is surely one of the more attractive modern apple varieties. Its main characteristic is the lovely pink speckled flush over a yellow-green background. It is also crisp and juicy, with dull white flesh which snaps cleanly. The flavor is predominantly sweet. Health benefits are whiten teeth, prevent parkinson's disease, cancer prevention, treatment for diabetes, lowers cholesterol, heart health, prevention of gallstones, lowers irritation, control weight, respiratory health etc"
"Fruits";"Apple Fuji-Pack of 4";"Fuji is surely one of the more attractive modern apple varieties. Its main characteristic is the lovely pink speckled flush over a yellow-green background. It is also crisp and juicy, with dull white flesh which snaps cleanly. The flavor is predominantly sweet. Health benefits are whiten teeth, prevent parkinson's disease, cancer prevention, treatment for diabetes, lowers cholesterol, heart health, prevention of gallstones, lowers irritation, control weight, respiratory health etc"
"Fruits";"Apple Green-Pack of 2";"The Granny Smith is a tip-bearing apple cultivar, which originated in Australia in 1868. The fruit is hard, with a light green skin and crisp, juicy flesh. The flavour is tart and acidic. However, it remains firm when baked, making it a very popular cooking apple. Benefits are fights wrinkles, improves skin texture, whitens and brightens, provides a Vitamin C boost, combats acne, provides natural sun protection etc"
"Fruits";"Apple Green-Pack of 4";"The Granny Smith is a tip-bearing apple cultivar, which originated in Australia in 1868. The fruit is hard, with a light green skin and crisp, juicy flesh. The flavour is tart and acidic. However, it remains firm when baked, making it a very popular cooking apple. Benefits are fights wrinkles, improves skin texture, whitens and brightens, provides a Vitamin C boost, combats acne, provides natural sun protection etc"
"Veggies";"Ash Gourd-1 Piece";"It is also commonly known as Wax Gourd, Winter Melon, Green Pumpkin. It is not just the fruit, which is useful, but its seeds and seed oil is equally useful. It is recognized for its medicinal properties in Ayurveda System of Medicine. It helps to keep stomach free of ulcers and intestinal parasites, aids in weight loss, helps stop bleeding, helps fight mental illness, beneficial for face and hair. "
"Exotics";"Asparagus-100 gms";"Asparagus is a versatile spring vegetable that can be cooked and served in a number of ways. But it's also perfect when cooked on its own, with just a little salt and pepper. Asparagus is a good source of folate, vitamin K, and fiber, among other nutrients. It is a good source of antioxidants. It helps to improve digestive health, helps support a healthy pregnancy, lower blood pressure, help to lose weight."
"Exotics";"Asparagus-250 gms";"Asparagus is a versatile spring vegetable that can be cooked and served in a number of ways. But it's also perfect when cooked on its own, with just a little salt and pepper. Asparagus is a good source of folate, vitamin K, and fiber, among other nutrients. It is a good source of antioxidants. It helps to improve digestive health, helps support a healthy pregnancy, lower blood pressure, help to lose weight."
"Exotics";"Avocado-1 Piece";"Avocado is a green, pear-shaped fruit often called an “alligator pear.” It is loaded with healthy fats, fiber and various important nutrients. Avocados are very high in potassium, which should support healthy blood pressure levels. Avocados are high in antioxidants, including lutein and zeaxanthin. These nutrients are very important for eye health and lower your risk of macular degeneration and cataracts."
"Fruits";"Banana Elaichi-500 gms";"Elaichi Banana pulp is composed of soft, easily digestible flesh with simple sugars like fructose and sucrose that when eaten replenishes energy and revitalizes the body instantly. They contain lots of fiber, carbs and some essential vitamins and minerals. Health benefits are control high blood pressure, promote weight loss, good for pregnant women, boost energy and increase stamina, keep bones strong, improve gut health and digestion, improves mood and mental health, skin and hair care etc   "
"Fruits";"Banana Robusta-500 gms";"Banana Robusta are also called as cavendish bananas. They are large in size and are green coloured when unripe and turn to yellow when ripe. Along with the ripening process, the starches in the fruit turn into sugars making it more sweeter. The fruits of the Robusta bananas are eaten raw, used in baking, fruit salads, fruit compotes, and to complement foods. It contains high amounts of vitamin B6 and B12, as well as magnesium and potassium. It also contains some fiber and protein."
"Exotics";"Basil-100 gms";"Basil also called great basil, is a culinary herb of the family Lamiaceae (mints). It is a tender plant, and is used in cuisines worldwide. Basil is rich in vitamin A, vitamin K, vitamin C, magnesium, iron, potassium, and calcium. It's benefits are fighting cancer, reducing the effects of oxidative stress, anti- aging properties, reduce inflammation and swelling, antibacterial properties etc"
"Exotics";"Basil-250 gms";"Basil also called great basil, is a culinary herb of the family Lamiaceae (mints). It is a tender plant, and is used in cuisines worldwide. Basil is rich in vitamin A, vitamin K, vitamin C, magnesium, iron, potassium, and calcium. It's benefits are fighting cancer, reducing the effects of oxidative stress, anti- aging properties, reduce inflammation and swelling, antibacterial properties etc"
"Veggies";"Beans Cowpea-250 gms";"The cowpea is an annual herbaceous legume from the genus Vigna. Cowpeas are grown mostly for their edible beans, although the leaves, green seeds and pods can also be consumed.It is also a good source of Protein and Niacin, and a very good source of Vitamin A, Vitamin C, Thiamin, Riboflavin, Vitamin B6, Folate, Calcium, Iron, Magnesium, Potassium, Copper and Manganese. Benefits are digestive health, heart protection, detoxification, sleep problems, diabetes management, circulatory health, weight loss etc"
"Veggies";"Beans Cowpea-500 gms";"The cowpea is an annual herbaceous legume from the genus Vigna. Cowpeas are grown mostly for their edible beans, although the leaves, green seeds and pods can also be consumed.It is also a good source of Protein and Niacin, and a very good source of Vitamin A, Vitamin C, Thiamin, Riboflavin, Vitamin B6, Folate, Calcium, Iron, Magnesium, Potassium, Copper and Manganese. Benefits are digestive health, heart protection, detoxification, sleep problems, diabetes management, circulatory health, weight loss etc"
"Fruits";"Ber Apple-500 gms";"Apple Ber is a Thailand variety fruit and it is also known as the Indian jujube or Chinese date. This plant starts giving fruits after 6-8 months of plantation.  Apple Ber fruits are juicy and delicious same as apple. It contains vitamin A and C along with the calcium. It helps in improving blood circulation, provides a glowing skin, good for bones, good for tummy, helps us to sleep better."
"Fruits";"Black Grapes-500 gms";"Black grapes, which are known for their velvety colour and sweet flavour, come packed with nutrients and antioxidants. Grapes also contain high levels of vitamin C, A, calcium, and iron. The most important health benefits of these grapes include their ability to beautify the skin, protect the heart, improve vision, manage diabetes, strengthen the hair, boost immunity, and ensure a healthy pregnancy, among others. It also has anti-inflammatory benefits."
"Veggies";"Brinjal Green Round -250 gms";"This food is very low in Saturated Fat and Cholesterol. It is also a good source of Vitamin K, Thiamin, Vitamin B6, Folate, Potassium and Manganese, and a very good source of Dietary Fiber. Health benefits are control diabetes, boosts memory, removes excess iron from the body, facilitates weight loss, aids digestion, has antibacterial properties, reduces blood pressure and stress level, prevent cancer, enhance bone health, treats anemia etc"
"Veggies";"Brinjal Green Round -500 gms";"This food is very low in Saturated Fat and Cholesterol. It is also a good source of Vitamin K, Thiamin, Vitamin B6, Folate, Potassium and Manganese, and a very good source of Dietary Fiber. Health benefits are control diabetes, boosts memory, removes excess iron from the body, facilitates weight loss, aids digestion, has antibacterial properties, reduces blood pressure and stress level, prevent cancer, enhance bone health, treats anemia etc"
"Exotics";"Brussels Sprouts-250 gms";"These cruciferous vegetables resemble mini cabbages and are typically cut, cleaned and cooked to make a nutritious side dish or main course. Brussels sprouts are low in calories but high in fiber, vitamins and minerals. It is also rich in antioxidants, may help protect against cancer, may help maintain healthy blood sugar level, may reduce inflammation, boost immune system, improve digestion, help in pregnancy, balance hormone levels, heal wounds, improve bone strength, increase metabolism etc"
"Exotics";"Brussels Sprouts-500 gms";"These cruciferous vegetables resemble mini cabbages and are typically cut, cleaned and cooked to make a nutritious side dish or main course. Brussels sprouts are low in calories but high in fiber, vitamins and minerals. It is also rich in antioxidants, may help protect against cancer, may help maintain healthy blood sugar level, may reduce inflammation, boost immune system, improve digestion, help in pregnancy, balance hormone levels, heal wounds, improve bone strength, increase metabolism etc"
"Veggies";"Carrot Red-250 gms";"It is red because of the Lycopene pigment, also found in tomatoes. Carrot have a long, narrow, cylindrical cone shape root, It has a thick, fleshy, deeply colored root, which grows underground, and feathery green leaves that emerge above ground. Carrots are a particularly good source of beta carotene, fiber, vitamin K1, potassium, and antioxidants. Healthy benefits are reduces risk of cancer, lower blood cholesterol, weight loss, eye health etc"
"Veggies";"Carrot Red-500 gms";"It is red because of the Lycopene pigment, also found in tomatoes. Carrot have a long, narrow, cylindrical cone shape root, It has a thick, fleshy, deeply colored root, which grows underground, and feathery green leaves that emerge above ground. Carrots are a particularly good source of beta carotene, fiber, vitamin K1, potassium, and antioxidants. Healthy benefits are reduces risk of cancer, lower blood cholesterol, weight loss, eye health etc"
"Fruits";"Cherry fruit-200 gms";"Cherries are drupe fruits with a central “stony-hard” seed surrounded by fleshy edible pulp. They come in small sizes, measuring about 2 cm in diameter. Externally they covered by bright ""shiny"" red or purple, thin peel. Cherries are a good source of vitamin C, potassium, fiber, and other nutrients that your body needs to function optimally. Healthy benefits are helps with anthritis and inflammatory conditions, lower blood sugar levels in people with diabetes, lower the risk of heart disease, lower the risk of colon cancer, helps improve memory."
"Exotics";"Cherry Tomato Red-200 gms";"A popular variety of cherry tomatoes is Sweet Million, which bear long clusters of sweet yet tomatoey red fruit. Pearly round or plum-shaped, tangy or sweet, red or gold, cherry tomatoes top off summer salads, sweeten party trays, and treat the kids. Nutrition benefits are Fat free, saturated fat free, cholesterol free, low in sodium, an excellent source of vitamins A and C and a good source of vitamin K and potassium."
"Exotics";"Cherry Tomato Yellow-200 gms";"Yellow cherry tomatoes are slightly less acidic than red varieties, and therefore they are somewhat milder and sweeter in flavor. Yellow cherry tomatoes are tender-firm and thin-skinned with two seed cavities carrying tiny, edible seeds. Health benefits are antioxidants, very nutritious, cardiovascular health, counter the negative effects of smoking, digestive health, lowers hypertension, manage diabetes, skincare etc"
"Fruits";"Custard Apple-Pack of 2";"Custard apples, also well known as ‘sharifa‘ or ‘sitaphal‘ in Hindi. Custard apples are rich in anti-oxidants like vitamin C, which help get rid of free radicals from the body. It is also rich in calcium, magnesium, iron, niacin & potassium. Benefits are healthy skin and hair, healthy weight, custard apple during pregnancy, prevents asthma, prevents heart attacks, aids digestion, excellent for diabetes, control blood pressure, reduces cholesterol, treating anemia etc."
"Fruits";"Figs-500 gms";"Figs are delicious. Their subtle sweetness and seedy texture make them great for sweet or savory dishes. Figs are high in natural sugars, minerals and soluble fibre. Figs are rich in minerals including potassium, calcium, magnesium, iron and copper and are a good source of antioxidant vitamins A and K that contribute to health and wellness. Health benefits are enhance digestive health, improve heart health, lower cholesterol, prevent colon cancer, cure anemia, lower sugar levels in diabetic patients, prevent breast cancer, strengthen bones etc"
"Fruits";"Green Grapes-500 gms";"Grapes are known as ‘The Queen of Fruits’, Grapes contain immunity-boosting vitamin C, simple sugars that provide instant energy, and antioxidants that are anti-inflammatory. Health benefits are relieves migraine, treates Alzheimer's disease, prevents indigestion, fights breast cancer, prevents eye degeneration, treats diabetes, lowers cholesterol in blood, heals kidney disorders, relieves asthma, helps fighting viral infections, relieves constipation etc"
"Veggies";"Green Peas-500 gms";"Green peas, or ""garden peas,"" are the small, spherical seeds that come from pods produced by the Pisum sativum plant. Green peas are a popular vegetable. They are also quite nutritious and contain a fair amount of fiber and antioxidants. Green peas are a very good source of vitamin K, manganese, dietary fiber, vitamin B1, copper, vitamin C, phosphorus and folate. Benefits are help better digestion, good source of iron, builds immunity, good eye health, good for heart, weight loss, good for skin etc"
"Veggies";"Green Peas-1 kg";"Green peas, or ""garden peas,"" are the small, spherical seeds that come from pods produced by the Pisum sativum plant. Green peas are a popular vegetable. They are also quite nutritious and contain a fair amount of fiber and antioxidants. Green peas are a very good source of vitamin K, manganese, dietary fiber, vitamin B1, copper, vitamin C, phosphorus and folate. Benefits are help better digestion, good source of iron, builds immunity, good eye health, good for heart, weight loss, good for skin etc"
"Veggies";"Green Tomato-500 gms";"Green tomatoes are just unripe tomatoes. Green tomatoes are a very good source of vitamins A and C and potassium. They also contain iron, calcium, dietary fiber, magnesium, and other minerals. Benefits are helpful for varicose veins, neutralize free radicals, cancer prevention, cholesterol balance, speeds healing process, prevents premature aging, tightens skin, healthy diet, builds muscle mass, maintain eye health, normal blood pressure, reduces heart problems, antioxidant activity etc"
"Fruits";"Guava-Pack of 2";"Guava is a sweet and delicious fruit cultivated in tropical climates. It is light green, yellow or maroon in color when it ripens. It has white or maroon flesh, depending on its type, and has small hard seeds enveloped in its soft, sweet pulp. Guava is a good source of energy, dietary fiber, vitamins, and minerals. The guava fruit contains vitamin C, A, E, B-vitamins, as well as potassium, phosphorus, magnesium, calcium, sodium, and zinc. The potential health benefits of guava are many and include its ability to help control blood sugar levels, regulate blood pressure, and provide relief from diarrhea. It also aids in weight loss, improves the skin, provides relief from cough and cold, dysentery, and scurvy."
"Fruits";"Guava-Pack of 4";"Guava is a sweet and delicious fruit cultivated in tropical climates. It is light green, yellow or maroon in color when it ripens. It has white or maroon flesh, depending on its type, and has small hard seeds enveloped in its soft, sweet pulp. Guava is a good source of energy, dietary fiber, vitamins, and minerals. The guava fruit contains vitamin C, A, E, B-vitamins, as well as potassium, phosphorus, magnesium, calcium, sodium, and zinc. The potential health benefits of guava are many and include its ability to help control blood sugar levels, regulate blood pressure, and provide relief from diarrhea. It also aids in weight loss, improves the skin, provides relief from cough and cold, dysentery, and scurvy."
"Fruits";"Nagpur Oranges-Pack of 2";"Nagpur orange is a variety of orange grown in Nagpur, Maharashtra, India. It is rustic and pockmarked exterior which is sweet and has juicy pulp. The Nagpur oranges blossom during the Monsoon season and are ready to be harvested from the month of December. Benefits are high in vitamin C, healthy immune system, prevents skin damage, keeps blood pressure under check, lowers cholesterol, control blood sugsar levels, lowers the risk of cancer. "
"Fruits";"Nagpur Oranges-Pack of 4";"Nagpur orange is a variety of orange grown in Nagpur, Maharashtra, India. It is rustic and pockmarked exterior which is sweet and has juicy pulp. The Nagpur oranges blossom during the Monsoon season and are ready to be harvested from the month of December. Benefits are high in vitamin C, healthy immune system, prevents skin damage, keeps blood pressure under check, lowers cholesterol, control blood sugsar levels, lowers the risk of cancer. "
"Fruits";"Indian Pear-Pack of 2";"Pears are sweet, bell-shaped fruits that have been enjoyed since ancient times. They can be eaten crisp or soft. Pears are especially rich in folate, vitamin C, copper, and potassium. They’re also a good source of polyphenol antioxidants. Health benefits are reduces cholesterol and prevents heart disease, prevents Alzheimer's disease, Diabetes control, boost immune system, improves bone health, weight loss, cures throat problems, prevent cancer etc"
"Fruits";"Indian Pear-Pack of 4";"Pears are sweet, bell-shaped fruits that have been enjoyed since ancient times. They can be eaten crisp or soft. Pears are especially rich in folate, vitamin C, copper, and potassium. They’re also a good source of polyphenol antioxidants. Health benefits are reduces cholesterol and prevents heart disease, prevents Alzheimer's disease, Diabetes control, boost immune system, improves bone health, weight loss, cures throat problems, prevent cancer etc"
"Fruits";"Litchi Fruit-250 gms";"Litchi is a small fruit with a sweet smell and taste, which is available in the summer. It is a small fruit packed with healthy nutrients. It has rough skin outside while contains juicy flesh inside. Litchi contains good amount of antioxidant Vitamin C, Vitamin B-complex and phytonutrient flavonoids. It contains high amount of antioxidants which is effective to prevent early ageing. Also effective to protect from asthma. Litchi contains high amount of dietary fiber which proves best nutrient that promote cardiovascular health."
"Fruits";"Litchi Fruit-500 gms";"Litchi is a small fruit with a sweet smell and taste, which is available in the summer. It is a small fruit packed with healthy nutrients. It has rough skin outside while contains juicy flesh inside. Litchi contains good amount of antioxidant Vitamin C, Vitamin B-complex and phytonutrient flavonoids. It contains high amount of antioxidants which is effective to prevent early ageing. Also effective to protect from asthma. Litchi contains high amount of dietary fiber which proves best nutrient that promote cardiovascular health."
"Fruits";"Mango Alphonso-6 pcs";"The 'Alphonso' mango, also called Hafoos, Hapuz, or Aapoos, is a named mango cultivar that originated in India. Favored for its sweetness, richness and flavor, the Alphonso has been called the king of mangoes. Mangos are high in vitamins, potassium, and folate and also add fiber to your diet. Benefits are prevent cancer, prevent heart disease, help lower cholesterol, may help treat diabetes, promote healthy sex, improve digestion, aid weight loss, help prevent asthma, improve eye health etc"
"Fruits";"Mango Alphonso-12 pcs";"The 'Alphonso' mango, also called Hafoos, Hapuz, or Aapoos, is a named mango cultivar that originated in India. Favored for its sweetness, richness and flavor, the Alphonso has been called the king of mangoes. Mangos are high in vitamins, potassium, and folate and also add fiber to your diet. Benefits are prevent cancer, prevent heart disease, help lower cholesterol, may help treat diabetes, promote healthy sex, improve digestion, aid weight loss, help prevent asthma, improve eye health etc"
"Fruits";"Mango Badami-2 pcs";"Badami is one of a number of delicious mangoes grown in India. It is slightly earlier than the sort-after Alphonse mango due to its more southerly production but is attractive as a fresh variety. The fruit has pale yellow, thin skin through which it is easy to detect the softness of the flesh. The flesh is an attractive yellow/orange colour, almost totally fibreless. The stone is of medium thickness. Badami mangoes are also known as the Alphonso of Karnataka state. "
"Fruits";"Mango Dasheri-2 pcs";" It is a sweet and fragrant variety of mango grown in North India and the southern state Andhra Pradesh, Nepal and Pakistan. Malihabad in Uttar Pradesh is the largest producer of the Dasheri mango. Dasheri mangoes are long and oval shaped, with a light green or yellow-green skin when mature, becoming golden yellow when ripe."
"Fruits";"Mango Kesar-2 pcs";"Kesar Mango is one of the delicious seasonal fruits grown in the tropics. The tree is believed to be having its origins in Indian subcontinent in the state of Gujarat. Fresh mango season lasts from May end to July end. Kesar mango is a rich source of Vitamin A, B6, C and E. It contains beta carotene, alpha carotene and beta cryptoxanthin. Minerals like potassium and copper are also present.
"
"Fruits";"Mango Lalbagh-2 pcs";"Popularly known as Rajgira in Karnataka, the soft and juicy fleshed fruit has a distinct appearance with shades of green and red. It is also known as 'Honey Mango' because of its exceptional flavour and sweetness. "
"Fruits";"Mango Totapuri-2 pcs";"Totapuri Mango is the famous mango found primarily in Andhra Pradesh. The Totapuri Mango is also grown in the Indian States of Karnataka and Tamil Nadu.They contain Vitamin B that helps you retain good health. They also help with indigestion and constipation problems. Furthermore, they cleanse the intestine and clear off many other infections. Raw mango contains vitamin A and Vitamin E that enhances one's hormonal system."
"Exotics";"Mushroom Oyester- 200 gms";"Oyster mushroom is an edible mushroom which was originated from Germany during the World War I. Oyster mushroom are broad and fan or oyster shape. Health benefits are maintain blood sugar level, immunity system, cardiovascular conditions, skin problems, brain health, cures anemia, provides energy, prevents tooth decay, alcoholism etc"
"Fruits";"Muskmelon-1 Piece";"Muskmelon or kharbuja is not only an extremely refreshing snack for the summer, but also a great fruit to make your skin soft and glowing. Along with helping the skin to stay hydrated, the fruit is packed with nutrients such as vitamin A, B and C, which help it to stay healthy, young and supple. Here are three ways that you can easily add muskmelons to your beauty regime."
"Exotics";"Oregano-50 gms";"Oregano is considered a staple herb in many cuisines around the world. It has a strong flavor and brings warmth to dishes, along with a hint of subtle sweetness. It can be found fresh, dried or as an oil, and all are said to have significant health benefits. Oregano is high in antioxidants, which can help prevent damage by neutralizing disease-causing free radicals. May help fight bacteria, could have anticancer properties, may help reduce viral infection, could decrease inflammation."
"Exotics";"Pak choi-1 Piece";"Pak choi is a type of Chinese cabbage. Chinensis varieties do not form heads and have green leaf blades with lighter bulbous bottoms instead, forming a cluster reminiscent of mustard greens. These vegetables are a good supply of nutrients and are low in calories. Benefits are protection from cancer, bone health, blood pressure, heart health, inflammation, immunity, skin glow etc"
"Fruits";"Peach-500 gms";"A peach is a soft, juicy and fleshy stone fruit produced by a peach tree. Peaches were cultivated in China as far back as 8,000 years ago, with domestication at least 4,000 years ago. Peaches are related to plums, apricots, cherries, and almonds. They’re considered drupes or stone fruit because their flesh surrounds a shell that houses an edible seed. They can be eaten on their own or added to a variety of dishes. What’s more, peaches are nutritious and may offer an array of health benefits, including improved digestion, smoother skin, and allergy relief."
"Fruits";"Pineapple-1 piece";"Pineapple is an incredibly delicious and healthy tropical fruit. This popular fruit is packed with nutrients, antioxidants and other helpful compounds, such as enzymes that can fight inflammation and disease. Pineapple and its compounds have been linked to many health benefits, including aiding digestion, boosting immunity and speeding up recovery from surgery, among others."
"Fruits";"Raw Mango-500 gms";"Raw mango is a powerhouse of nutrition and very high in Vitamin C too. Mangoes are available in various colours around the world but the green ones are essential for treating digestive problems and losing weight. It helps in weight loss, prevents dehydration, treats stomach disorders, detoxifies the liver, boosts cardiovascular health, good for your teeth, good for skin and hair, prevents macular degeneration,  lowers the risk of cancer."
"Exotics";"Red Radish-250 gms";"Red radishes are one of the most commonly used radishes in culinary preparations and can be utilized in both cooked and raw preparations, making them a versatile ingredient in the kitchen. The Red radish is grown mainly for its root; a small, scarlet globe with a crisp and peppery, translucent, white flesh. Red radishes contain vitamin C, folate, fiber and potassium. Like many radishes, Red radishes contain active enzymes that are known to aid in digestion. "
